Collar ID,Acq. Time [UTC], Acq. Time [LMT],SCTS [UTC],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,3D Error,Mortality Status,Activity,Temp[°C],Main[V],Backup[V]
35076,2022-03-03 23:00:38,2022-03-03 23:00:38,2022-03-04 05:00:48,Iridium,39.01434,-123.13140,180,1.2,3D Validated,,Nothing Detected,,19,3.36,3.68
35074,2022-03-03 23:00:19,2022-03-03 23:00:19,2022-03-04 17:00:46,Iridium,39.04798,-123.11144,484,1.4,3D Validated,,Nothing Detected,,23,3.36,3.68
35074,2022-03-03 22:00:23,2022-03-03 22:00:23,2022-03-04 17:00:46,Iridium,39.04747,-123.11189,544,1.4,3D Validated,,Nothing Detected,,25,3.36,3.68
35076,2022-03-03 22:00:22,2022-03-03 22:00:22,2022-03-04 05:00:48,Iridium,39.01427,-123.13146,203,1.2,3D Validated,,Nothing Detected,,19,3.36,3.68
35074,2022-03-03 21:00:33,2022-03-03 21:00:33,2022-03-04 17:00:46,Iridium,39.04789,-123.11121,430,2,3D Validated,,Nothing Detected,,22,3.36,3.68
35076,2022-03-03 21:00:27,2022-03-03 21:00:27,2022-03-04 05:00:48,Iridium,39.01433,-123.13120,195,1.4,3D Validated,,Nothing Detected,,20,3.36,3.68
35074,2022-03-03 20:00:23,2022-03-03 20:00:23,2022-03-04 17:00:46,Iridium,39.04781,-123.11292,409,1.4,3D Validated,,Nothing Detected,,19,3.36,3.68
35076,2022-03-03 20:00:21,2022-03-03 20:00:21,2022-03-04 05:00:48,Iridium,39.01423,-123.13120,167,1.4,3D Validated,,Nothing Detected,,24,3.36,3.68
35076,2022-03-03 19:00:19,2022-03-03 19:00:19,2022-03-04 05:00:48,Iridium,39.01409,-123.13141,189,1.4,3D Validated,,Nothing Detected,,23,3.36,3.68
35074,2022-03-03 19:00:12,2022-03-03 19:00:12,2022-03-04 17:00:46,Iridium,39.04568,-123.11184,373,1.4,3D Validated,,Nothing Detected,,17,3.36,3.68
35074,2022-03-03 18:00:21,2022-03-03 18:00:21,2022-03-04 17:00:46,Iridium,39.04625,-123.11322,410,1.2,3D Validated,,Nothing Detected,,18,3.36,3.68
35076,2022-03-03 18:00:20,2022-03-03 18:00:20,2022-03-04 05:00:48,Iridium,39.01425,-123.13143,186,1.2,3D Validated,,Nothing Detected,,19,3.36,3.68
35074,2022-03-03 17:00:36,2022-03-03 17:00:36,2022-03-04 17:00:46,Iridium,39.04633,-123.11316,405,1.4,3D Validated,,Nothing Detected,,16,3.36,3.68
