Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2020/12/14, 01:16:19, 39.001625, -123.085632, 293.48,  2052.00, 178, -2, 0.00, 1
2020/12/14, 01:43:23, 39.001625, -123.085632, 293.48,  2052.00, 178, 0, 0.00, 1
2020/12/14, 01:54:11, 39.001858, -123.085373, 274.15,  5184.00, 296, 0, 34.24, 
2020/12/14, 02:16:49, 39.002014, -123.085426, 260.75,  1872.00, 357, 0, 17.94, 
2020/12/14, 02:43:09, 39.002174, -123.086044, 201.65,  0.00, 79, 0, 56.29, 
2020/12/14, 02:53:31, 39.002144, -123.086067, 196.32,  0.00, 321, 0, 3.88, 
2020/12/14, 03:04:04, 39.002209, -123.085899, 243.12,  72.00, 20, 0, 16.22, 
2020/12/14, 03:16:35, 39.001945, -123.085602, 176.94,  108.00, 71, 0, 38.99, 
2020/12/14, 03:28:25, 39.002270, -123.086166, 127.97,  792.00, 6, 0, 60.67, 
2020/12/14, 03:41:41, 39.001888, -123.085480, 183.23,  1152.00, 141, 0, 72.93, 
2020/12/14, 03:56:37, 39.001743, -123.085907, 127.88,  2628.00, 191, 0, 40.27, 
2020/12/14, 04:10:34, 39.001663, -123.085655, 29.47,  720.00, 71, 0, 23.52, 
2020/12/14, 04:23:10, 39.001106, -123.086052, 21.75,  3060.00, 135, 0, 70.80, 1
2020/12/14, 04:38:08, 39.002449, -123.085381, 483.94,  252.00, 180, 0, 160.20, 1
2020/12/14, 04:51:46, 39.002590, -123.085381, 394.83,  0.00, 299, 0, 15.68, 
2020/12/14, 05:02:10, 39.002388, -123.085510, 315.47,  0.00, 335, 0, 25.08, 
2020/12/14, 05:12:31, 39.002983, -123.085556, 409.44,  0.00, 309, 0, 66.28, 
2020/12/14, 05:22:55, 39.002235, -123.085350, 248.61,  10116.00, 174, 0, 85.06, 
2020/12/14, 05:33:16, 39.002003, -123.085320, 344.01,  0.00, 0, 0, 25.93, 
2020/12/14, 05:43:48, 39.002235, -123.085526, 219.62,  2340.00, 157, 0, 31.34, 
2020/12/14, 05:54:33, 39.003078, -123.085785, 333.32,  4788.00, 351, 0, 96.37, 
2020/12/14, 06:06:24, 39.002846, -123.085747, 321.24,  10584.00, 149, 0, 26.01, 
2020/12/14, 06:18:24, 39.002472, -123.085609, 332.15,  900.00, 326, 0, 43.26, 
2020/12/14, 06:32:15, 39.001850, -123.085327, 277.12,  540.00, 359, 0, 73.33, 1
2020/12/14, 06:47:44, 39.001934, -123.085869, 275.24,  0.00, 278, 0, 47.76, 1
2020/12/14, 06:58:07, 39.001865, -123.086174, 208.47,  0.00, 124, 0, 27.45, 
2020/12/14, 07:08:47, 39.001900, -123.085892, 306.02,  3456.00, 30, 0, 24.68, 
2020/12/14, 07:21:21, 39.002480, -123.085548, 341.94,  1944.00, 128, 0, 71.01, 
2020/12/14, 07:35:33, 39.001919, -123.085815, 286.61,  1260.00, 161, 0, 66.51, 
2020/12/14, 07:53:34, 39.001801, -123.085381, 213.75,  0.00, 213, 0, 39.73, 
2020/12/14, 08:04:00, 39.001823, -123.085625, 218.39,  4824.00, 259, 0, 21.23, 
2020/12/14, 08:14:24, 39.001545, -123.085632, 233.01,  0.00, 242, 0, 30.92, 
2020/12/14, 08:25:20, 39.001686, -123.085648, 207.99,  864.00, 51, 0, 15.74, 
2020/12/14, 08:39:29, 39.002441, -123.085541, 269.86,  0.00, 297, 0, 84.46, 
2020/12/14, 08:49:50, 39.001839, -123.085297, 284.18,  0.00, 186, 0, 70.18, 
2020/12/14, 09:00:09, 39.002193, -123.085472, 260.68,  0.00, 167, 0, 42.17, 
2020/12/14, 09:10:27, 39.001541, -123.085464, 247.19,  0.00, 0, 0, 72.50, 
2020/12/14, 09:20:53, 39.002235, -123.085533, 259.85,  1260.00, 250, 0, 77.40, 
2020/12/14, 09:31:13, 39.002121, -123.085411, 241.46,  6696.00, 195, 0, 16.49, 
2020/12/14, 09:41:32, 39.002369, -123.085274, 191.37,  0.00, 346, 0, 30.01, 
2020/12/14, 09:51:53, 39.001534, -123.085121, 263.60,  144.00, 331, 0, 93.78, 
2020/12/14, 10:02:32, 39.002235, -123.084557, 200.46,  792.00, 62, 0, 91.93, 
2020/12/14, 10:12:56, 39.001595, -123.085335, 325.01,  0.00, 130, 0, 97.90, 
2020/12/14, 10:23:14, 39.001831, -123.086227, -1.65,  0.00, 120, 0, 81.42, 
2020/12/14, 10:33:32, 39.001923, -123.085289, 375.43,  0.00, 357, 0, 81.70, 
2020/12/14, 10:43:58, 39.001125, -123.085487, 181.94,  2052.00, 74, 0, 90.37, 
2020/12/14, 10:54:30, 39.001141, -123.084900, 237.00,  1620.00, 195, 0, 50.76, 
